상호명,주소
"방탈출, 둡두",서울 마포구 서교동
이스케이프시티 신촌점,서울 서대문구 창천동
딥띵커,서울 마포구 서교동
방탈출카페 넥스트에디션 건대2호점,서울 광진구 자양동
브레이크아웃이스케이프,서울 마포구 서교동
넥스트에디션 신림점,서울 관악구 신림동
더메이즈 노원,서울 노원구 상계동
엑스이스케이프 홍대놀이터점,서울 마포구 서교동
도어이스케이프 홍대점,서울 마포구 서교동
세븐클루스 강남 2호점,서울 강남구 역삼동
룸익스케이프 화이트점,서울 서대문구 창천동
상상의문 대학로점,서울 종로구 명륜2가 21-9 지하 3층
리얼이스케이프첼린지,서울 마포구 서교동
넥스트에디션 방탈출카페 건대1호점,서울 광진구 자양동
티켓투이스케이프,서울 마포구 서교동
미스터리룸 이스케이프 홍대본점,서울 마포구 서교동
덤앤더머 방탈출카페,서울 종로구 동숭동
룸익스케이프 블랙점,서울 서대문구 창천동
드림이스케이프 건대점,서울 광진구 자양동
세븐클루스 강남1호점,서울 강남구 역삼동
셜록홈즈 대학로점,서울 종로구 동숭동
코드케이 방탈출카페,서울 강남구 역삼동
세븐클루스 강남1호점,서울 강남구 역삼동
세븐클루스 강남 2호점,서울 강남구 역삼동
미스터리룸 이스케이프 홍대2호점,서울 마포구 서교동
상상의문 홍대점,서울 마포구 서교동
"방탈출, 둡두",서울 마포구 서교동
마스터키 노원점,서울 노원구 상계동
엑소더스 강남1호점,서울 강남구 역삼동
이룸에이트 방탈출카페,서울 강남구 논현동
비트포비아 홍대던전3,서울 마포구 서교동
큐브이스케이프 잠실점,서울 송파구 잠실동
에피소드방탈출 강남점,서울 강남구 역삼동
도어이스케이프 강남가든점,서울 서초구 서초동
마스터키 홍대점,서울 마포구 서교동
미션파이브 오락실 성수점,서울 성동구 성수동2가
더클루 신촌프리미엄점,서울 서대문구 창천동
포인트나인 건대점,서울 광진구 화양동
방탈출 이스케이프하우스,서울 마포구 서교동
이스케이프 샾,서울 강남구 신사동
큐브이스케이프 홍대점,서울 마포구 서교동
마스터키프라임 신촌퍼플릭점,서울 서대문구 창천동
Studio ESC,서울 강남구 역삼동
더코드 신림점,서울 관악구 신림동
엑스케이프 강남점,서울 강남구 역삼동
엑스케이프 건대점,서울 광진구 화양동
플레이더월드 건대점,서울 광진구 자양동
더트랩 수유 방탈출,서울 강북구 수유동
위드방탈출카페,서울 서대문구 창천동
넥스트에디션 강남5호점,서울 강남구 역삼동
레다스퀘어 홍대점,서울 마포구 서교동
라스트 이스케이프,서울 강남구 역삼동
룸익스케이프 인디고블루점,서울 서대문구 창천동
큐브이스케이프 천호점,서울 강동구 천호동
스피키지,서울 마포구 서교동
해피앤딩방탈출,서울 마포구 서교동
엑스케이프 홍대점,서울 마포구 서교동
히든스위치,서울 마포구 서교동
판타스트릭 방탈출 강남1점,서울 서초구 반포동
도어이스케이프 이수역점,서울 동작구 사당동
룸즈에이 강남점,서울 강남구 역삼동
비밀의 숲,서울 마포구 서교동
싸인이스케이프 홍대점,서울 마포구 서교동
지구별방탈출 어드벤처점,서울 마포구 서교동
월투월방탈출 서울대입구점,서울 관악구 봉천동
에필로그,서울 종로구 동숭동
신촌방탈출ESC,서울 서대문구 창천동
개꿀이스케이프,서울 강남구 논현동
이스케이프랩,서울 강남구 역삼동
방탈출 미로,서울 은평구 갈현동
HIDE AND SEEK 쌈지길점,서울 종로구 관훈동
판타스트릭 강남2호점,서울 서초구 반포동
엑스이스케이프 홍대상상마당점,서울 마포구 서교동
ESC방탈출카페 홍대점,서울 마포구 서교동
머더파커 WOW잠실점,서울 송파구 방이동
비밀의화원 시네마틱 혜화점,서울 종로구 명륜4가 8-1 지하2층
마스터키 홍대점,서울 마포구 서교동
도어이스케이프 블루 신논현점,서울 서초구 반포동
파노라마 신촌점,서울 서대문구 창천동
더메이즈 건대점,서울 광진구 자양동
홍대방탈출 포인트나인,서울 마포구 서교동
HIDE AND SEEK 홍대점,서울 마포구 동교동
비트포비아 던전101,서울 마포구 서교동
비밀의화원 미드나잇 합정점,서울 마포구 서교동
지구별방탈출 홍대라스트시티,서울 마포구 서교동
넥스트에디션 강남3호점,서울 서초구 서초동
크라임씬카페 퍼즐팩토리 홍대2호점,서울 마포구 서교동
비밀의화원 건대점,서울 광진구 화양동
제로월드 강남점,서울 서초구 서초동
머더파커WOW홍대점,서울 마포구 서교동
비밀의화원 대학로점,서울 종로구 동숭동
미스터리룸 이스케이프 강남점,서울 서초구 서초동
이스케이프샾 건대점,서울 광진구 화양동
넥스트에디션 보네르관,서울 광진구 화양동
셜록홈즈 성신여대점,서울 성북구 동선동1가
플레이더월드 강남점,서울 서초구 서초동
룸엘이스케이프,서울 관악구 신림동
비밀의화원 포레스트,서울 광진구 화양동
HIDE AND SEEK 쌈지길점,서울 종로구 관훈동
엑소더스 강남1호점,서울 강남구 역삼동
크라임씬카페 퍼즐팩토리 홍대본점,서울 마포구 서교동
덤앤더머 방탈출카페 홍대점,서울 마포구 서교동
크라임씬카페 퍼즐팩토리 강남점,서울 강남구 역삼동
키이스케이프 메모리컴퍼니,서울 강남구 역삼동
알카트래즈,서울 중구 명동2가
코드케이 홍대점,서울 마포구 상수동
비밀의화원 다운타운 홍대점,서울 마포구 동교동
비트포비아 명동,서울 중구 명동2가
비트포비아 강남던전,서울 강남구 역삼동
시크릿챔버,서울 종로구 명륜2가 21-18 2층
비트포비아 홍대던전,서울 마포구 서교동
제로월드 홍대점,서울 마포구 서교동
비트포비아 던전루나,서울 강남구 역삼동
마스터키노바 홍대점,서울 마포구 서교동
셜록홈즈 잠실점,서울 송파구 잠실동
엑스케이프 건대점,서울 광진구 화양동
서울이스케이프룸 홍대2호점,서울 마포구 서교동
솔버 건대1호점,서울 광진구 화양동
이스케이프시티 본점,서울 영등포구 영등포동3가
방탈출카페 뉴케이스,서울 광진구 화양동
스피키지,서울 마포구 서교동
HIDE AND SEEK 홍대점,서울 마포구 동교동
방탈출카페 넥스트에디션 잠실점,서울 송파구 잠실동
키이스케이프 홍대점,서울 마포구 서교동
비트포비아 강남던전2,서울 강남구 역삼동
비트포비아 대학로,서울 종로구 동숭동
방탈출 토끼굴,서울 마포구 창전동
마스터키 건대점,서울 광진구 자양동
겟어웨이 방탈출,서울 강남구 역삼동
비밀의화원 리버타운,서울 강남구 역삼동
머더파커 건대2호점,서울 광진구 화양동
황금열쇠 타임스퀘어점,서울 강남구 역삼동
패닉이스케이프,서울 양천구 신정동
비트포비아 신림,서울 관악구 신림동
시크릿코드 방탈출 홍대직영점,서울 마포구 서교동
시그널헌터 가로수길점,서울 강남구 신사동
룸즈에이 대학로점,서울 종로구 동숭동
셜록홈즈 종각점,서울 종로구 관철동
이스케이프시티 신촌점,서울 서대문구 창천동
머더파커 홍대1호점,서울 마포구 서교동
탐정크루 신촌2호점,서울 서대문구 창천동
코드이스케이프 가로수길,서울 강남구 신사동
키이스케이프 스테이션,서울 서초구 서초동
비트포비아 던전스텔라점,서울 강남구 역삼동
이스케이퍼스 2호점,서울 마포구 서교동
키이스케이프 더오름,서울 강남구 역삼동
레토 성수,서울 성동구 성수동2가
키이스케이프 우주라이크,서울 강남구 역삼동
셜록홈즈 서울대입구점,서울 관악구 봉천동
머더파커 잠실점,서울 송파구 방이동
엑스케이프 강남점,서울 강남구 역삼동
Decoder,서울 마포구 서교동
크라임씬 방탈출카페 엑스크라임,서울 광진구 화양동
방탈출카페 탈출브라더스,서울 영등포구 영등포동3가
머더파커 건대1호점,서울 광진구 화양동
키이스케이프 로그인,서울 강남구 역삼동
도어이스케이프 레드 신논현점,서울 서초구 서초동
마스터키 잠실점,서울 송파구 잠실동
오아시스 방탈출,서울 마포구 서교동
이스케이프시티 성신여대점,서울 성북구 동선동1가
"방탈출, 단편선",서울 강남구 역삼동
이스케이퍼스,서울 마포구 동교동
룸엘이스케이프 홍대1호점,서울 마포구 서교동
초상화 강남,서울 강남구 역삼동
싸인이스케이프 강남시티점,서울 강남구 역삼동
포인트나인,서울 강남구 역삼동
더코드 왕십리점,서울 성동구 행당동
단편선 성수,서울 성동구 성수동2가
크라임씬카페 퍼즐팩토리 강남2호점,서울 서초구 서초동
큐브이스케이프 수유점,서울 강북구 수유동
황금열쇠 유토피아호건대점,서울 광진구 화양동
셜록홈즈 노원점,서울 노원구 상계동
더코드 회기점,서울 동대문구 회기동
키이스케이프 로그인2,서울 강남구 역삼동
키이스케이프 강남,서울 강남구 역삼동
황금열쇠 플라워로드 강남,서울 강남구 역삼동
포인트나인 강남2호점,서울 강남구 역삼동
미션브레이크 용산,서울 용산구 한강로3가
퀘스천마크,서울 마포구 서교동
찰리이스케이프,서울 송파구 잠실동
클레버타운,서울 서대문구 창천동
솔버 건대2호점,서울 광진구 화양동
마피아카페 강남1호점,서울 강남구 역삼동
미션파이브 오락실 고대점,서울 성북구 안암동5가
나의신방,서울 서대문구 창천동
크라임씬카페 코티지가든,서울 마포구 서교동
위욜,서울 마포구 서교동
트루이스케이프 건대점,서울 광진구 화양동
퍼즐팩토리 홍대3호점,서울 마포구 서교동
셜록홈즈 신림2호점,서울 관악구 신림동
도어이스케이프 블루 신논현점,서울 서초구 반포동
제로월드 롯데월드점,서울 송파구 잠실동
셜록홈즈 노량진점,서울 동작구 노량진동
프로젝트30 신촌점,서울 서대문구 창천동
룸엘이스케이프 신림3호점,서울 관악구 봉천동
파라박스 강남역점,서울 강남구 역삼동
코난방탈출,서울 구로구 구로동
룸익스케이프 올리브점,서울 서대문구 창천동
과학 방탈출,서울 종로구 삼청동
쿠쿠룸1089,서울 강남구 논현동
쿠쿠룸190000,서울 강남구 역삼동
cafe 탈출카페,서울 종로구 안국동
비트포비아 아이파크몰점,서울 용산구 한강로3가
브레인스튜디오,서울 강남구 역삼동
프랭크의 골동품가게,서울 강남구 역삼동
더히든 홍대놀이터점,서울 마포구 서교동
오프라인방탈출,서울 강남구 역삼동
S방탈출카페,서울 강남구 역삼동
Theclue,서울 강남구 역삼동
